FECHA;PAÍS;REGIÓN;MUNICIPIO;"DEPARTAMENTO
NO TOCAR";VEREDA;VARIABLE;EVENTO;URL ;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-01;COLOMBIA;SANTANDERES;BUCARAMANGA;SANTANDER;N/A;CORRUPCIÓN ;Capturado en Bucaramanga exalcalde de Puerto Wilches para cumplir condena por corrupción;https://www.bluradio.com/regiones/santanderes/capturado-en-bucaramanga-exalcalde-de-puerto-wilches-para-cumplir-condena-por-corrupcion-rg10;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-01;COLOMBIA;PACÍFICA;CAJIBÍO;CAUCA;N/A;LIBERACIÓN SECUESTRADO;" secuestrado por hombres armados en Cajibío, Cauca líder social caleño el 30 de noviembre, posteriormnte lo 
Liberan en  Puerto Resistencia.";https://www.bluradio.com/nacion/liberan-a-lider-de-puerto-resistencia-secuestrado-por-hombres-armados-en-cajibio-cauca-rg10;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;COLOMBIA;OCCIDENTE / EJE CAFETERO;PENSILVANIA;CALDAS;N/A;FUGA DE PRESOS;Dos presos se fugaron y uno más se habría quitado la vida en la estación de Policía de Pensilvania, Caldas;"https://www.noticiasrcn.com/colombia/dos-presos-se-fugaron-y-uno-mas-se-quito-la-vida-en-la-estacion-de-policia-de-pensilvania-caldas-780688#google_vignette


https://www.rcnradio.com/colombia/sur/secuestran-lider-social-caleno-en-cajibio-cauca";;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;COLOMBIA;SANTANDERES;CÚCUTA;NORTE DE SANTANDER ;N/A;QUEMA DE VEHICULOS;En la vía Cúcuta - San Faustino quemaron dos vehículos y secuestraron al propietario de una mina de carbón;https://www.laopinion.co/judicial/en-la-cucuta-san-faustino-quemaron-dos-vehiculos-y-secuestraron-al-propietario-de-una-mina;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;COLOMBIA;SANTANDERES;CÚCUTA;NORTE DE SANTANDER ;N/A;RECLUTAMIENTO DE MENORES ;Preocupación por aumento de reclutamiento infantil en Norte de Santander;https://caracol.com.co/2024/12/02/preocupacion-por-amento-de-reclutamiento-infantil-en-norte-de-santander/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;COLOMBIA;CARIBE;PALMAR DE VARELA;ATLÁNTICO;N/A;HOMICIDIO;Hallan cadáver decapitado en vía pública en Palmar de Varela (Atlántico): en caso similar habían lanzado una cabeza a grupo de niños;https://www.eltiempo.com/colombia/barranquilla/terror-en-palmar-de-varela-atlantico-por-el-hallazgo-de-un-cadaver-decapitado-en-plena-via-publica-3405156;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;COLOMBIA;AMAZONÍA ORINOQUÍA;PUERTO GUZMAN;PUTUMAYO;N/A;ENFRENTAMIENTO;Fuertes enfrentamientos entre las disidencias dejan al menos 11 muertos en Caquetá y Putumayo: están amenazando a los civiles para que recuperen los cadáveres;https://www.infobae.com/colombia/2024/12/02/enfrentamientos-entre-disidencias-en-caqueta-y-putumayo-dejan-un-numero-indeterminado-de-muertos/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;COLOMBIA;OCCIDENTE / EJE CAFETERO;PEREIRA;RISARALDA;N/A;HOMICIDIO;Desmembrado y abandonado: hallan cuerpo en bolsas negras;https://www.eldiario.com.co/judicial/desmembrado-y-abandonado-hallan-cuerpo-en-bolsas-negras/#google_vignette;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;COLOMBIA;OCCIDENTE / EJE CAFETERO;MEDELLÍN;ANTIOQUIA;N/A;ARTEFACTO EXPLOSIVO;Encapuchados habrían provocado incendio en centro comercial Aventura de Medellín;https://www.elcolombiano.com/medellin/incendio-centro-comercial-aventura-lo-habrian-provocado-encapuchados-medellin-JI25967097;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;ECUADOR;AMAZONÍA ORINOQUÍA;;PROVINCIA DE ORO;N/A;HOMICIDIO COLECTIVO;ATENCIÓN: 9 colombianos entre las víctimas de masacre registrada en Ecuador;https://conexionputumayo.com/atencion-9-colombianos-entre-las-victimas-de-masacre-registrada-en-ecuador/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-02;COLOMBIA;CARIBE;EL PASO;CESAR;N/A;HOMICIDIO;Asesinan a joven de 21 años en la Loma de Calenturas: le dejaron panfleto de “limpieza social”;https://www.rtanoticias.com/asesinan-a-joven-en-la-loma-de-calenturas-y-le-dejan-panfleto/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;PACÍFICA;CALDONO;CAUCA;N/A;HOMICIDIO;"Asesinan a firmante de paz en Cauca; le dispararon en la plaza de mercado de Siberia";https://www.bluradio.com/regiones/pacifico/asesinan-a-firmante-de-paz-en-cauca-le-dispararon-en-la-plaza-de-mercado-de-siberia-rg10;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;SANTANDERES;CÚCUTA;NORTE DE SANTANDER ;N/A;ARTEFACTO EXPLOSIVO;Atentado con explosivos a unidad militar cerca a la Brigada 30 de Cúcuta;https://caracol.com.co/2024/12/03/atentado-con-explosivos-a-unidad-militar-cerca-a-la-brigada-30/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;AMAZONÍA ORINOQUÍA;SAN JOSÉ DEL GUAVIARE;GUAVIARE;N/A;HOMICIDIO COLECTIVO;Revelan identidades de la madre herida y los cuatro muertos en masacre de San José del Guaviare;https://www.eltiempo.com/colombia/otras-ciudades/necesitamos-que-autoridades-nos-ayuden-masacre-deja-tres-muertos-en-san-jose-del-guaviare-3405650;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;OCCIDENTE / EJE CAFETERO;PEREIRA;RISARALDA ;N/A;EXTORSIÓN;Transportadores denuncian extorsiones de hasta $500.000 en vía Panamericana entre Risaralda y Chocó ;https://www.rcnradio.com/colombia/eje-cafetero/transportadores-denuncian-extorsiones-de-hasta-500000-en-via-panamericana-entre-risaralda-y-choco;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;ANDINA;BOGOTA D.C.;BOGOTÁ;N/A;EXTORSIÓN;ATENCIÓN: 600 uniformados de la Policía realizan un megaoperativo en 11 cárceles del país;https://caracol.com.co/2024/12/03/atencion-600-uniformados-de-la-policia-realizan-un-megaoperativo-en-11-carceles-del-pais/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;CARIBE;DIBULLA;LA GUAJIRA;N/A;HOMICIDIO;Encuentran cuerpo sin vida dentro de un costal en zona rural de Dibulla, La Guajira;https://www.elinformador.com.co/index.php/judiciales/72-judiciales-nacional/325593-encuentran-cuerpo-sin-vida-dentro-de-un-costal-en-zona-rural-de-dibulla-la-guajira;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;PACÍFICA;CALDONO;CAUCA;LAS DELICIAS ;RETÉN ILEGAL;Hace aproximadamente dos horas en inmediaciones de la vereda Las Delicias del resguardo ancestral San Lorenzo de Caldono un grupo armado perteneciente al ELN instalan un retén ilegal.;https://x.com/CRIC_Cauca/status/1863970744847253654;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;OCCIDENTE / EJE CAFETERO;TURBO;ANTIOQUIA;N/A;AMENAZAS;El alcalde de Turbo denunció que ha sido amenazado por desconocidos;https://caracol.com.co/2024/12/04/el-alcalde-de-turbo-denuncio-que-ha-sido-amenazado-por-desconocidos/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-03;COLOMBIA;ANDINA;BOGOTA D.C.;BOGOTÁ;N/A;PARO INDEFINIDO;Sindicato de Migración anuncia paro indefinido: varios vuelos podrían verse afectados;https://www.wradio.com.co/2024/12/03/sindicato-de-migracion-anuncia-paro-indefinido-varios-vuelos-podrian-verse-afectados/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-04;COLOMBIA;SANTANDERES;PAMPLONITA;NORTE DE SANTANDER;N/A;ARTEFACTO EXPLOSIVO;Fue activada una motocicleta con explosivos en el peaje Pamplonita en Norte de Santander;https://www.wradio.com.co/2024/12/04/fue-activada-una-motocicleta-con-explosivos-en-el-peaje-pamplonita-en-norte-de-santander/;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-04;COLOMBIA;ANDINA;ALGECIRAS;HUILA;N/A;ARTEFACTO EXPLOSIVO;Estallaron artefacto explosivo en el Banco Agrario de Algeciras;https://www.lanacion.com.co/estallaron-artefacto-explosivo-en-el-banco-agrario-de-algeciras/;;;;;;;;;;;;;;;;;;;;;;;;;
